,Año,Periodo,Salario mínimo interprofesional (€)
0,1980,Año,"136,85"
1,1981,Año,"153,98"
2,1982,Año,"170,93"
3,1983,Año,"193,29"
4,1984,Año,"208,79"
5,1985,Año,"223,4"
6,1986,Año,"241,25"
7,1987,Año,"253,33"
8,1988,Año,"264,69"
9,1989,Año,"280,55"
10,1990,Año,"300,57"
11,1991,Año,"320,04"
12,1992,Año,"338,25"
13,1993,Año,"351,77"
14,1994,Año,"364,03"
15,1995,Año,"376,83"
16,1996,Año,"390,18"
17,1997,Año,"400,45"
18,1998,Año,"408,93"
19,1999,Año,"416,32"
20,2000,Año,"424,8"
21,2001,Año,"433,45"
22,2002,Año,"442,2"
23,2003,Año,"451,2"
24,2004,Año,"460,5"
25,2005,Año,513
26,2006,Año,"540,9"
27,2007,Año,"570,6"
28,2008,Año,600
29,2009,Año,624
30,2010,Año,"633,3"
31,2011,Año,"641,4"
32,2012,Año,"641,4"
33,2013,Año,"645,3"
34,2014,Año,"645,3"
35,2015,Año,"648,6"
36,2016,Año,"655,2"
37,2017,Año,"707,7"
38,2018,Año,"735,9"
39,2019,Año,900
40,2020,Año,950
41,2021,Año,965
42,2022,Año,1.000
43,2023,Año,1.080
44,,,
45,,,
46,"Métrica:""Salario mínimo interprofesional (€)""",,
47,"Fuente:""Ministerio de Trabajo y Economía Social""",,
48,"Clasificación:""""",,
49,"Unidad:""%""",,
50,"Escala:""Unidades""",,
51,"EscalaFactorPotencia10:""0""",,
52,"SonDatosNumericos:""True""",,
53,,,
54,,,
55,"Url:""https://www.epdata.es/evolucion-salario-minimo/eba8ae95-9e55-46b9-8aa0-b38abc771a61""",,
56,"Titulo:""Evolución del Salario Mínimo Interprofesional (SMI) en España""",,
57,"Subtitulo:""Datos en euros mensuales para 14 pagas""",,
